Symbol,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,date,close_price_change
HDFCBANK,816.0,821.6,804.35,816.05,1589258,2014-05-20,1
AXISBANK,1870.0,1892.8,1841.05,1856.95,1241464,2014-05-20,0
HDFCBANK,812.35,814.5,805.0,809.5,910597,2014-05-21,0
ICICIBANK,1455.0,1456.95,1421.1,1440.55,3564161,2014-05-21,0
AXISBANK,1858.0,1867.2,1810.05,1815.15,1068753,2014-05-21,0
ICICIBANK,1442.1,1485.0,1442.1,1451.5,3100051,2014-05-22,1
HDFCBANK,812.0,815.0,798.0,802.6,1951614,2014-05-22,0
AXISBANK,1829.0,1858.0,1805.1,1841.65,889382,2014-05-22,1
HDFCBANK,799.0,803.0,782.7,789.65,2454734,2014-05-23,0
ICICIBANK,1460.15,1469.75,1445.0,1460.8,3413563,2014-05-23,1
AXISBANK,1846.25,1873.45,1840.0,1864.5,1170628,2014-05-23,1
HDFCBANK,799.0,804.05,790.0,797.15,4348808,2014-05-26,1
AXISBANK,1877.0,1928.8,1848.0,1872.95,1743052,2014-05-26,1
ICICIBANK,1458.0,1498.1,1445.0,1454.55,4004475,2014-05-26,0
HDFCBANK,800.0,810.65,788.35,804.9,1904881,2014-05-27,1
ICICIBANK,1445.0,1455.6,1427.55,1447.1,1909151,2014-05-27,0
AXISBANK,1859.1,1872.3,1830.05,1849.05,933085,2014-05-27,0
ICICIBANK,1450.05,1468.8,1441.3,1456.2,2378715,2014-05-28,1
HDFCBANK,799.9,826.75,799.5,823.45,3588891,2014-05-28,1
AXISBANK,1849.05,1875.0,1825.25,1859.9,1190020,2014-05-28,1
ICICIBANK,1458.0,1469.5,1426.8,1436.95,4465299,2014-05-29,0
HDFCBANK,822.6,830.75,807.4,810.25,3421002,2014-05-29,0
AXISBANK,1859.0,1893.4,1850.5,1865.7,2111082,2014-05-29,1
HDFCBANK,815.0,822.8,730.0,792.75,8201886,2014-05-30,0
ICICIBANK,1440.5,1448.4,1404.75,1418.05,3116914,2014-05-30,0
